X,Y,OBJECTID,SiteID,SensorDate,SensorID,ConfidenceID,Main_Damage_Site_Class,Grouped_Damage_Classes,FieldValidation,Notes,Settlement_Name,Neighborhood,EventCode
34.511777253,31.5383463470001,"1062",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5123834410001,31.5387309380001,"1063",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5135984290001,31.5405812340001,"1064",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.513298691,31.540597501,"1065",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5135729610001,31.5402915320001,"1066",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5130993650001,31.5403938050001,"1067",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5136976620001,31.5406563760001,"1068",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5135058290001,31.541653308,"1069",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5137635280001,31.541792715,"1070",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5140323540001,31.5415173360001,"1071",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5138361580001,31.541323779,"1072",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5142045220001,31.5426142580001,"1073",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5140617800001,31.5424200690001,"1074",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Severe Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5145538500001,31.5425414350001,"1075",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.514769555,31.5402646420001,"1076",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Severe Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.513319353,31.537091773,"1077",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
